region,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
Ленинградская область,marlboro,194650,1339118,3821645,0.35
Московская область,marlboro,178800,1339118,3821645,0.35
Новосибирская область,marlboro,177037,1339118,3821645,0.35
Санкт-Петербург,marlboro,470649,1339118,3821645,0.35
Свердловская область,marlboro,75501,1339118,3821645,0.35
г. Москва,marlboro,242481,1339118,3821645,0.35
Ленинградская область,parliament,395642,2482527,3821645,0.65
Московская область,parliament,450938,2482527,3821645,0.65
Новосибирская область,parliament,452152,2482527,3821645,0.65
Санкт-Петербург,parliament,405396,2482527,3821645,0.65
Свердловская область,parliament,404143,2482527,3821645,0.65
г. Москва,parliament,374256,2482527,3821645,0.65
